canonical_ticker,provider_symbol,identity_asof,admitted_start,admitted_end,chain_id,continuity_kind,warmup_predecessor,factor_anchor,evidence_url
DOC,DOC,2025-12-31,2024-03-04,2025-12-31,healthpeak,accounting_acquirer_rename,PEAK,1,https://www.sec.gov/Archives/edgar/data/765880/000162828024033154/peak-20240630.htm
NLOK,NLOK,2022-11-07,2020-01-01,2022-11-07,gen,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/849399/000110465922115277/tm2229813d1_ex99-01.htm
GEN,GEN,2025-12-31,2022-11-08,2025-12-31,gen,same_issuer_rename,NLOK,1,https://www.sec.gov/Archives/edgar/data/849399/000110465922115277/tm2229813d1_ex99-01.htm
PKI,PKI,2023-05-15,2020-01-01,2023-05-15,revvity,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/31791/000003179123000011/pki-20230702.htm
RVTY,RVTY,2025-12-31,2023-05-16,2025-12-31,revvity,same_issuer_rename,PKI,1,https://www.sec.gov/Archives/edgar/data/31791/000003179123000011/pki-20230702.htm
WLTW,WLTW,2022-01-09,2020-01-01,2022-01-09,wtw,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1140536/000095017022001932/wtw-20211231.htm
WTW,WTW,2025-12-31,2022-01-10,2025-12-31,wtw,same_issuer_rename,WLTW,1,https://www.sec.gov/Archives/edgar/data/1140536/000095017022001932/wtw-20211231.htm
FISV,FISV,2025-12-31,2020-01-01,2025-12-31,fiserv,same_issuer_ticker_reuse,,1,https://investors.fiserv.com/news-releases/news-release-details/fiserv-announces-transfer-stock-exchange-listing-nasdaq
FI,FI,2025-11-10,2023-06-07,2025-11-10,fiserv,same_issuer_ticker_reuse,FISV,0,https://www.sec.gov/Archives/edgar/data/798354/000079835424000037/fi-20231231.htm
VIAC,VIAC,2022-02-16,2020-01-01,2022-02-16,paramount_legacy,same_issuer_rename,,0,https://ir.paramount.com/news-releases/news-release-details/viacomcbs-unveils-new-company-name-global-content-slate-and
PARA,PARA,2025-08-06,2022-02-17,2025-08-06,paramount_legacy,same_issuer_rename,VIAC,1,https://www.sec.gov/Archives/edgar/data/813828/000119312525175027/d52142d8k.htm
PSKY,PSKY,2025-12-31,2025-08-07,2025-12-31,paramount_successor,successor_reset,,1,https://www.sec.gov/Archives/edgar/data/2041610/000204161026000011/psky-20251231.htm
CDAY,CDAY,2024-01-31,2020-01-01,2024-01-31,dayforce,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1725057/000095017024009619/day-20240131.htm
DAY,DAY,2025-12-31,2024-02-01,2025-12-31,dayforce,same_issuer_rename,CDAY,1,https://www.sec.gov/Archives/edgar/data/1725057/000095017024009619/day-20240131.htm
MMC,MMC,2025-12-31,2020-01-01,2025-12-31,marsh,historical_identity,,1,https://www.marshmclennan.com/web-assets/files-for-download/investors/2025/pdf-2025-marsh-mclennan-investors-3q-news-release.pdf
