Symbol,Scanner_Category,Scanner_Notes,RS_Score,CANSLIM_Score,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,Current_Growth,Annual_Growth,Revenue_Growth,ROE,Shares_Outstanding,Proximity_to_High,Avg_Volume_50,UpDown_Volume_Ratio,Volume_Ratio,Is_Breakout,Has_Volume_Surge,Market_Bullish,Market_Score,Distribution_Days,Follow_Through,Quarterly_Income_Available,Annual_Income_Available,Balance_Sheet_Available,Current_Earnings_Available,Annual_Earnings_Available,Revenue_Growth_Available,Institutional_Data_Available,Has_Fundamentals,Data_Availability_C,Data_Availability_A,Data_Availability_N_Revenue,Data_Availability_I_Level,Data_Availability_I_Trend,Income_Statement_Error,Balance_Sheet_Error
WDS,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",93.8595600676819,61.21513735998404,0.0,0.0,100.0,40.71413534454842,93.8595600676819,50.0,5.499999999999999,,,,,,0.9959644874899112,1294554.9,0.929826211762262,0.5864509879032554,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/WDS?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/WDS?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
INTC,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",94.85448392554991,61.14514691692542,0.0,0.0,92.55338733431516,45.785952857674836,94.85448392554991,50.0,5.499999999999999,,,,,,0.9740427098674521,95431606.18,1.0657190571534967,1.3575939794582632,True,True,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/INTC?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/INTC?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
TTE,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",89.87986463620982,61.13569388706479,0.0,0.0,100.0,48.23658710643669,89.87986463620982,50.0,5.499999999999999,,,,,,0.9889598441389761,2104163.6,0.9971847809296895,1.1508306673492499,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/TTE?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/TTE?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
DOW,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",93.03045685279189,61.114193954054066,0.0,0.0,100.0,41.817153041713546,93.03045685279189,50.0,5.499999999999999,,,,,,0.9890136135657989,15121501.62,1.0686908518488758,0.9431595722700455,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/DOW?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/DOW?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
MPC,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",93.19627749576988,59.95968762220178,0.0,0.0,92.79603826763521,42.33968866293475,93.19627749576988,50.0,5.499999999999999,,,,,,0.9742368306141082,2697795.62,0.9253016707849978,0.7332141787671818,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/MPC?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/MPC?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
ROST,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",88.88494077834179,59.935886822193474,0.0,0.0,97.48090050178561,46.14659546359497,88.88494077834179,50.0,5.499999999999999,,,,,,0.9779847204014285,2705475.96,0.9773505871475463,0.9954825102197544,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/ROST?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/ROST?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
FIX,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",97.50761421319797,59.741985046367894,0.0,0.0,86.13086819343964,39.18482113518784,97.50761421319797,50.0,5.499999999999999,,,,,,0.9689046945547517,432244.46,0.8654827536783372,0.5375569186011082,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/FIX?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/FIX?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CNQ,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",91.53807106598985,59.071657842931,0.0,0.0,90.62809099901084,42.939885005129966,91.53807106598985,50.0,5.499999999999999,,,,,,0.9725024727992087,11201140.3,0.9645347494542875,0.7342281928206899,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CNQ?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CNQ?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
ADM,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",87.39255499153977,58.26805783896065,0.0,0.0,96.55627793579859,40.88293019540542,87.39255499153977,50.0,5.499999999999999,,,,,,0.9772450223486389,4078839.48,0.8867827325065493,0.6570363980099555,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/ADM?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/ADM?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
COP,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",86.23181049069375,58.2486962682245,0.0,0.0,100.0,39.65420849384726,86.23181049069375,50.0,5.499999999999999,,,,,,0.9848281016442452,9867278.78,1.0841433884348706,0.6887433862489898,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/COP?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/COP?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
TRGP,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",84.0761421319797,57.90562996010399,0.0,0.0,100.0,42.07868051661256,84.0761421319797,50.0,5.499999999999999,,,,,,1.0,1550732.66,0.9409962403938723,0.690190532261054,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/TRGP?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/TRGP?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CTVA,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",84.7394247038917,57.84413195411038,0.0,0.0,100.0,40.41387633982369,84.7394247038917,50.0,5.499999999999999,,,,,,0.9984788205008192,4339345.8,0.8419452290571406,0.6746738183437697,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CTVA?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CTVA?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
TD,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",81.42301184433164,57.59754150152777,0.0,0.0,100.0,45.690454569739394,81.42301184433164,50.0,5.499999999999999,,,,,,0.9818789228588782,2575674.1,1.063809091394788,2.982512422670244,True,True,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/TD?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/TD?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
MPWR,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",91.70389170896784,57.567335154025265,0.0,0.0,83.67324160883155,41.289318320371734,91.70389170896784,50.0,5.499999999999999,,,,,,0.9669385932870652,616989.36,0.8712781883985944,0.7124126095140442,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/MPWR?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/MPWR?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
AIR,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",91.20642978003383,57.55648315469114,0.0,0.0,63.31927861734993,62.57851917338372,91.20642978003383,50.0,5.499999999999999,,,,,,0.9506554228938799,485176.5,0.8986401359085386,0.7885728183454888,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/AIR?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/AIR?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
DELL,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",92.86463620981387,57.55328715276058,0.0,0.0,82.06755067659378,40.496256243961646,92.86463620981387,50.0,5.499999999999999,,,,,,0.965654040541275,8998973.48,1.1123555754756425,0.6394680474155592,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/DELL?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/DELL?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
SHEL,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",82.41793570219966,57.432938600707686,0.0,0.0,100.0,42.79529089949292,82.41793570219966,50.0,5.499999999999999,,,,,,1.0,7569142.34,0.8135156148501352,0.918021578650878,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/SHEL?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/SHEL?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
EQIX,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",82.25211505922167,56.552018457538175,0.0,0.0,100.0,38.281871398016634,82.25211505922167,50.0,5.499999999999999,,,,,,0.9913491063695771,677021.84,1.0706338112607365,0.6283490056982505,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/EQIX?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/EQIX?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
KEYS,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",94.02538071065989,56.21898372312334,0.0,0.0,74.48447026526657,38.41917879059199,94.02538071065989,50.0,5.499999999999999,,,,,,0.9595875762122132,1577589.6,1.0790857215702512,0.6036240350468841,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/KEYS?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/KEYS?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
JBL,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",90.21150592216583,56.15482760267968,0.0,0.0,79.14666007626043,41.03187989414611,90.21150592216583,50.0,5.499999999999999,,,,,,0.9633173280610083,1168215.24,0.8671725379529128,0.6954386248205425,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/JBL?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/JBL?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
NEE,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",79.76480541455162,56.037527227759284,0.0,0.0,98.74059364548484,41.68619527808802,79.76480541455162,50.0,5.499999999999999,,,,,,0.9789924749163879,9959075.24,0.9715426075065299,0.6164648676758064,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/NEE?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/NEE?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
PWR,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",92.53299492385787,55.93155299953497,0.0,0.0,75.57827951040726,38.72927213931937,92.53299492385787,50.0,5.499999999999999,,,,,,0.9604626236083258,1156754.76,0.9002888749193472,0.45282804801252774,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/PWR?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/PWR?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
VOD,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",86.06598984771574,55.806242055023795,0.0,0.0,81.65195460277431,44.900397004425066,86.06598984771574,50.0,5.499999999999999,,,,,,0.9653215636822194,4570420.6,0.9316928931915089,0.946833645901211,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/VOD?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/VOD?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
